,index,long_position_solar,lat_position_solar,value_phov,long_position_topo,lat_position_topo,elevation,long_position,lat_position,value,lat_leftend,lat_rightend,long_leftend,long_rightend,coordinates,Address,esp_or_not
21,431,"(-9.247, -9.158]","(38.539, 38.592]",1659.0983,"(-9.323, -9.231]","(38.602, 38.68]",11.100840336134453,"(-9.312, -9.22]","(38.611, 38.689]",6.333333333333333,38.611,38.689,-9.323,-9.231,"38.611,-9.323",Portugal,0
22,432,"(-9.247, -9.158]","(38.592, 38.646]",1653.6638,"(-9.323, -9.231]","(38.68, 38.758]",81.84489795918367,"(-9.312, -9.22]","(38.689, 38.767]",6.75,38.689,38.767,-9.323,-9.231,"38.689,-9.323","Rua Carlos Mardel, Nova Oeiras, Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa, 2780-133, Portugal",0
23,433,"(-9.247, -9.158]","(38.646, 38.7]",1631.0128,"(-9.323, -9.231]","(38.758, 38.837]",210.21212121212122,"(-9.312, -9.22]","(38.767, 38.845]",6.916666666666667,38.767,38.845,-9.323,-9.231,"38.767,-9.323","Rio de Mouro Velho, Paiões, Rio de Mouro, Sintra, Lisboa, 2635-475, Portugal",0
24,434,"(-9.247, -9.158]","(38.7, 38.753]",1625.6992,"(-9.323, -9.231]","(38.837, 38.915]",221.36130536130537,"(-9.312, -9.22]","(38.845, 38.922]",7.0,38.845,38.922,-9.323,-9.231,"38.845,-9.323","Fação, Pero Pinheiro, Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisboa, 2715-061, Portugal",0
25,435,"(-9.247, -9.158]","(38.753, 38.807]",1614.4825,"(-9.323, -9.231]","(38.915, 38.993]",207.34654234654235,"(-9.312, -9.22]","(38.922, 39.0]",6.583333333333333,38.922,39.0,-9.323,-9.231,"38.922,-9.323","Igreja Nova, Ventureira, Igreja Nova e Cheleiros, Mafra, Lisboa, 2640-335 IGREJA NOVA, Portugal",0
26,436,"(-9.247, -9.158]","(38.807, 38.861]",1594.8334,"(-9.323, -9.231]","(38.993, 39.071]",95.50971250971251,"(-9.312, -9.22]","(39.0, 39.078]",5.875,39.0,39.078,-9.323,-9.231,"39.0,-9.323","Bee Moinho, Rua da Abelheira, Azueira e Sobral da Abelheira, Mafra, Lisboa, 2565-306, Portugal",0
27,437,"(-9.247, -9.158]","(38.861, 38.914]",1584.5873,"(-9.323, -9.231]","(39.071, 39.149]",66.6029526029526,"(-9.312, -9.22]","(39.078, 39.156]",6.0,39.078,39.156,-9.323,-9.231,"39.078,-9.323","Casal Moinho de Frade, Ventosa, Torres Vedras, Lisboa, 2565-831, Portugal",0
28,438,"(-9.247, -9.158]","(38.914, 38.968]",1572.3823,"(-9.323, -9.231]","(39.149, 39.228]",66.46681749622925,"(-9.312, -9.22]","(39.156, 39.233]",6.916666666666667,39.156,39.233,-9.323,-9.231,"39.156,-9.323","EM 562, Casal das Paradas, A dos Cunhados, A dos Cunhados e Maceira, Torres Vedras, Lisboa, 2560-053, Portugal",0
29,439,"(-9.247, -9.158]","(38.968, 39.022]",1558.9258,"(-9.323, -9.231]","(39.228, 39.306]",90.78554778554779,"(-9.312, -9.22]","(39.233, 39.311]",7.0,39.233,39.311,-9.323,-9.231,"39.233,-9.323","Atalaia, Lourinhã e Atalaia, Lourinhã, Lisboa, 2530-020, Portugal",0
30,440,"(-9.247, -9.158]","(39.022, 39.075]",1551.4397,"(-9.323, -9.231]","(39.306, 39.384]",76.998445998446,"(-9.312, -9.22]","(39.311, 39.389]",6.916666666666667,39.311,39.389,-9.323,-9.231,"39.311,-9.323","Casais do Júlio, Atouguia da Baleia, Peniche, Leiria, 2525-005, Portugal",0
31,441,"(-9.247, -9.158]","(39.075, 39.129]",1542.3899,"(-9.323, -9.231]","(39.384, 39.462]",38.45995423340961,"(-9.312, -9.22]","(39.389, 39.467]",6.916666666666667,39.389,39.467,-9.323,-9.231,"39.389,-9.323","Praia da Almagreira, Ferrel, Peniche, Leiria, 2520-102, Portugal",0
32,444,"(-9.247, -9.158]","(39.236, 39.29]",1536.6732,"(-9.323, -9.231]","(39.619, 39.697]",7.56,"(-9.312, -9.22]","(39.622, 39.7]",6.75,39.622,39.7,-9.323,-9.231,"39.622,-9.323",Portugal,0
33,528,"(-9.158, -9.07]","(38.378, 38.431]",1659.7388,"(-9.231, -9.139]","(38.367, 38.445]",93.17256637168141,"(-9.22, -9.128]","(38.378, 38.456]",6.916666666666667,38.378,38.456,-9.231,-9.139,"38.378,-9.231",Portugal,0
34,529,"(-9.158, -9.07]","(38.431, 38.485]",1669.5995,"(-9.231, -9.139]","(38.445, 38.524]",56.35581395348837,"(-9.22, -9.128]","(38.456, 38.534]",6.833333333333333,38.456,38.534,-9.231,-9.139,"38.456,-9.231","Zona de Protecção Complementar, Portugal",0
35,530,"(-9.158, -9.07]","(38.485, 38.539]",1656.9811,"(-9.231, -9.139]","(38.524, 38.602]",50.58298319327731,"(-9.22, -9.128]","(38.534, 38.611]",6.75,38.534,38.611,-9.231,-9.139,"38.534,-9.231","Almada, Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal, 2800-128, Portugal",0
36,531,"(-9.158, -9.07]","(38.539, 38.592]",1650.0691,"(-9.231, -9.139]","(38.602, 38.68]",49.1856,"(-9.22, -9.128]","(38.611, 38.689]",6.5,38.611,38.689,-9.231,-9.139,"38.611,-9.231","Charneca de Caparica, Charneca de Caparica e Sobreda, Almada, Setúbal, 2820-225, Portugal",0
