,0
431,Viana do Castelo
432,Viana do Castelo
433,Viana do Castelo
434,Viana do Castelo
435,Faro
436,Faro
437,Faro
438,Faro
439,Faro
440,Beja
441,Beja
442,Beja
443,Beja
444,Beja
445,Beja
446,Beja
447,Setúbal
448,Beja
449,Setúbal
450,Setúbal
451,Setúbal
452,Évora
453,Évora
454,Évora
455,Évora
456,Évora
457,Évora
458,Évora
459,Santarém
460,Santarém
461,Santarém
462,Santarém
463,Santarém
464,Santarém
465,Santarém
466,Santarém
467,Santarém
468,Santarém
469,Santarém
470,Santarém
471,Leiria
472,Leiria
473,Coimbra
474,Coimbra
475,Coimbra
476,Coimbra
477,Coimbra
478,Viseu
479,Viseu
480,Aveiro
481,Aveiro
482,Aveiro
483,Aveiro
484,Aveiro
485,Aveiro
486,Aveiro
487,Porto
488,Porto
489,Porto
490,Porto
491,Braga
492,Braga
493,Braga
494,Braga
495,Braga
496,Viana do Castelo
497,Viana do Castelo
498,Viana do Castelo
499,Viana do Castelo
500,Faro
501,Faro
502,Faro
503,Faro
504,Beja
505,Beja
506,Beja
507,Beja
508,Beja
509,Beja
510,Beja
511,Beja
512,Beja
513,Beja
514,Beja
515,Setúbal
516,Setúbal
517,Évora
518,Évora
519,Évora
520,Évora
521,Évora
522,Évora
523,Santarém
524,Évora
525,Portalegre
526,Portalegre
527,Portalegre
528,Santarém
529,Santarém
530,Santarém
531,Santarém
532,Santarém
533,Santarém
534,Castelo Branco
535,Castelo Branco
536,Leiria
537,Leiria
538,Leiria
539,Coimbra
540,Coimbra
541,Coimbra
542,Coimbra
543,Viseu
544,Viseu
545,Viseu
546,Viseu
547,Viseu
548,Viseu
549,Aveiro
550,Aveiro
551,Viseu
552,Porto
553,Porto
554,Porto
555,Porto
556,Braga
557,Braga
558,Braga
559,Braga
560,Braga
561,Braga
562,Viana do Castelo
563,Viana do Castelo
564,Viana do Castelo
565,Viana do Castelo
566,Faro
567,Faro
568,Faro
569,Faro
570,Beja
571,Beja
572,Beja
573,Beja
574,Beja
575,Beja
576,Beja
577,Beja
578,Beja
579,Beja
580,Beja
581,Beja
582,Beja
583,Évora
584,Évora
585,Évora
586,Évora
587,Évora
588,Évora
589,Évora
590,Évora
591,Évora
592,Portalegre
593,Portalegre
594,Portalegre
595,Santarém
596,Santarém
597,Santarém
598,Santarém
599,Castelo Branco
600,Castelo Branco
601,Castelo Branco
602,Castelo Branco
603,Coimbra
604,Coimbra
605,Coimbra
606,Coimbra
607,Coimbra
608,Coimbra
609,Viseu
610,Viseu
611,Viseu
612,Viseu
613,Viseu
614,Viseu
615,Aveiro
616,Viseu
617,Viseu
618,Porto
619,Porto
620,Porto
621,Porto
622,Braga
623,Braga
624,Braga
625,Braga
626,Braga
627,Braga
628,Viana do Castelo
629,Faro
630,Faro
631,Faro
632,Faro
633,Faro
634,Beja
635,Beja
636,Beja
637,Beja
638,Beja
639,Beja
640,Beja
641,Beja
642,Beja
643,Beja
644,Beja
645,Beja
646,Évora
647,Évora
648,Évora
649,Évora
650,Évora
651,Évora
652,Évora
653,Évora
654,Évora
655,Portalegre
656,Portalegre
657,Portalegre
658,Portalegre
659,Portalegre
660,Portalegre
661,Santarém
662,Santarém
663,Santarém
664,Santarém
665,Castelo Branco
666,Castelo Branco
667,Castelo Branco
668,Coimbra
669,Coimbra
670,Coimbra
671,Coimbra
672,Coimbra
673,Viseu
674,Viseu
675,Viseu
676,Viseu
677,Viseu
678,Viseu
679,Viseu
680,Viseu
681,Viseu
682,Porto
683,Porto
684,Porto
685,Braga
686,Braga
687,Braga
688,Braga
689,Braga
690,Vila Real
691,Vila Real
692,Faro
693,Faro
694,Faro
695,Faro
696,Faro
697,Faro
698,Beja
699,Beja
700,Beja
701,Beja
702,Beja
703,Beja
704,Beja
705,Beja
706,Beja
707,Beja
708,Beja
709,Beja
710,Évora
711,Évora
712,Évora
713,Évora
714,Évora
715,Évora
