,Phov,Elevation,long_bins,lat_bins,Inclination,lat_leftend,lat_rightend,long_leftend,long_rightend,Coordinates,Address,County
23,1601.0856,225.5073815073815,"(-9.22, -9.128]","(38.922, 39.0]",7.0,38.922,39.0,-9.231,-9.139,"38.922,-9.231","Girassol, Avenida 9 de Julho, Venda do Valador, Venda do Pinheiro e Santo Estêvão das Galés, Mafra, Lisboa, 2665-527, Portugal",Lisboa
24,1593.0953,175.40404040404042,"(-9.22, -9.128]","(39.0, 39.078]",5.4375,39.0,39.078,-9.231,-9.139,"39.0,-9.231","N 9-2, Quinta da Fonte Forneira, Enxara do Bispo, Gradil e Vila Franca do Rosário, Mafra, Lisboa, 2665-054, Portugal",Lisboa
25,1595.3207,148.9059829059829,"(-9.22, -9.128]","(39.078, 39.156]",6.5,39.078,39.156,-9.231,-9.139,"39.078,-9.231","Autoestrada do Oeste, Casal das Fontes, Torres Vedras, Santa Maria, São Pedro e Matacães, Torres Vedras, Lisboa, 2560-587, Portugal",Lisboa
26,1590.8777,95.59351432880844,"(-9.22, -9.128]","(39.156, 39.233]",7.0,39.156,39.233,-9.231,-9.139,"39.156,-9.231","Autoestrada do Oeste, Moita dos Ferreiros, Ramalhal, Torres Vedras, Lisboa, 2565-668 RAMALHAL, Portugal",Lisboa
27,1575.9625,86.84304584304584,"(-9.22, -9.128]","(39.233, 39.311]",7.0,39.233,39.311,-9.231,-9.139,"39.233,-9.231","Moita dos Ferreiros, Lourinhã, Lisboa, 2530-439, Portugal",Lisboa
28,1569.6357,56.46921278254092,"(-9.22, -9.128]","(39.311, 39.389]",6.916666666666667,39.311,39.389,-9.231,-9.139,"39.311,-9.231","Cezaredas, Reguengo Grande, Lourinhã, Lisboa, 2540-512, Portugal",Leiria
29,1556.0198,34.253815261044174,"(-9.22, -9.128]","(39.389, 39.467]",7.0,39.389,39.467,-9.231,-9.139,"39.389,-9.231","Estrada do Vau, Quinta do bom Sucesso, Vau, Óbidos, Leiria, 2510-688, Portugal",Setúbal
30,1629.7645,112.85314685314684,"(-9.128, -9.036]","(38.456, 38.534]",7.0,38.456,38.534,-9.139,-9.046,"38.456,-9.139","Caixas (Depóstio de Água), EN 377, Alfarim, Casal das Maravilhas, Castelo, Sesimbra, Setúbal, 2970-129, Portugal",Setúbal
31,1631.8761,49.44343891402715,"(-9.128, -9.036]","(38.534, 38.611]",7.0,38.534,38.611,-9.139,-9.046,"38.534,-9.139","Apostiça, Castelo, Sesimbra, Setúbal, 2865-100, Portugal",Setúbal
32,1638.9147,12.511054421768709,"(-9.128, -9.036]","(38.611, 38.689]",7.0,38.611,38.689,-9.139,-9.046,"38.611,-9.139","Pinhal Conde da Cunha, Amora, Seixal, Setúbal, 2845-193, Portugal",Setúbal
33,1634.9199,22.06232294617564,"(-9.128, -9.036]","(38.689, 38.767]",6.888888888888889,38.689,38.767,-9.139,-9.046,"38.689,-9.139","Ginjal, Almada, Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal, 2800-297, Portugal",Lisboa
34,1617.0503,40.625635808748726,"(-9.128, -9.036]","(38.767, 38.845]",6.888888888888889,38.767,38.845,-9.139,-9.046,"38.767,-9.139","40, Avenida Marechal Craveiro Lopes/2ª Circular, Olivais, Lisboa, 1700-079, Portugal",Lisboa
35,1597.0769,94.0205047318612,"(-9.128, -9.036]","(38.845, 38.922]",6.777777777777778,38.845,38.922,-9.139,-9.046,"38.845,-9.139","Rua Padre Cruz, Bairro Quinta da Ribeirinha, Santo Antão e São Julião do Tojal, Santo Antão do Tojal, Lisboa, 2670-398, Portugal",Lisboa
36,1581.2614,230.03574203574203,"(-9.128, -9.036]","(38.922, 39.0]",7.0,38.922,39.0,-9.139,-9.046,"38.922,-9.139","Parque Infantil de Vila Nova, Rua 25 de Abril, Vila Nova, Loures, Lisboa, 2670-676, Portugal",Lisboa
37,1578.8857,197.25097125097125,"(-9.128, -9.036]","(39.0, 39.078]",4.5,39.0,39.078,-9.139,-9.046,"39.0,-9.139","Casal do Barqueiro, Santo Quintino, Sobral de Monte Agraço, Lisboa, 2590-081, Portugal",Lisboa
38,1589.8336,140.46076146076146,"(-9.128, -9.036]","(39.078, 39.156]",5.777777777777778,39.078,39.156,-9.139,-9.046,"39.078,-9.139","A-da-Rainha, Carvoeira, Carvoeira e Carmões, Torres Vedras, Lisboa, 2580-087, Portugal",Lisboa
39,1594.9805,193.447209653092,"(-9.128, -9.036]","(39.156, 39.233]",7.0,39.156,39.233,-9.139,-9.046,"39.156,-9.139","Vila Verde dos Francos, Maxial e Monte Redondo, Torres Vedras, Lisboa, 2565-591 OUTEIRO DA CABEÇA, Portugal",Lisboa
40,1592.6118,95.009324009324,"(-9.128, -9.036]","(39.233, 39.311]",7.0,39.233,39.311,-9.139,-9.046,"39.233,-9.139","Pêro Moniz, Cadaval e Pêro Moniz, Cadaval, Lisboa, 2550-101, Portugal",Leiria
41,1588.8137,102.996114996115,"(-9.128, -9.036]","(39.311, 39.389]",7.0,39.311,39.389,-9.139,-9.046,"39.311,-9.139","Carvalhal, Bombarral, Leiria, 2510-772, Portugal",Leiria
42,1578.7766,81.8003108003108,"(-9.128, -9.036]","(39.389, 39.467]",7.0,39.389,39.467,-9.139,-9.046,"39.389,-9.139","Casal da Toiça, Santa Maria, São Pedro e Sobral da Lagoa, Óbidos, Leiria, 2500-220, Portugal",Leiria
43,1562.5228,67.43359375,"(-9.128, -9.036]","(39.467, 39.544]",7.0,39.467,39.544,-9.139,-9.046,"39.467,-9.139","Rua de Baixo, Chão de Parada, Tornada e Salir do Porto, Caldas da Rainha, Leiria, 2500-314, Portugal",Leiria
44,1536.9009,48.24193548387097,"(-9.128, -9.036]","(39.544, 39.622]",7.0,39.544,39.622,-9.139,-9.046,"39.544,-9.139","Casal das Hortas, São Martinho do Porto, Alcobaça, Leiria, 2460-083, Portugal",Setúbal
45,1626.38,144.56822429906543,"(-9.036, -8.944]","(38.456, 38.534]",6.75,38.456,38.534,-9.046,-8.954,"38.456,-9.046","Coutada Velha, Calhariz, Castelo, Sesimbra, Setúbal, 2970-333, Portugal",Setúbal
46,1615.3729,66.6470588235294,"(-9.036, -8.944]","(38.534, 38.611]",6.666666666666667,38.534,38.611,-9.046,-8.954,"38.534,-9.046","Azeitão, Setúbal, 2975-666, Portugal",Setúbal
47,1628.4567,22.43512658227848,"(-9.036, -8.944]","(38.611, 38.689]",6.833333333333333,38.611,38.689,-9.046,-8.954,"38.611,-9.046","Carreira de Tiro da Escola de Fuzileiros, EN 10-3, Palhais, Palhais e Coina, Barreiro, Setúbal, 2830-572, Portugal",Setúbal
48,1635.4495,6.868,"(-9.036, -8.944]","(38.689, 38.767]",6.5,38.689,38.767,-9.046,-8.954,"38.689,-9.046","Montijo, Montijo e Afonsoeiro, Montijo, Setúbal, 2836 - 908, Portugal",Setúbal
49,1639.3455,0.2492063492063492,"(-9.036, -8.944]","(38.767, 38.845]",6.083333333333333,38.767,38.845,-9.046,-8.954,"38.767,-9.046","Ponte Vasco da Gama, Samouco, Alcochete, Setúbal, 2980-228, Portugal",Lisboa
50,1625.2999,2.7416587225929456,"(-9.036, -8.944]","(38.845, 38.922]",6.25,38.845,38.922,-9.046,-8.954,"38.845,-9.046","Vila Franca de Xira, Lisboa, Portugal",Lisboa
51,1601.7064,75.57383627608347,"(-9.036, -8.944]","(38.922, 39.0]",6.833333333333333,38.922,39.0,-9.046,-8.954,"38.922,-9.046","EN 10-6, A-dos-Melros, Sobralinho, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa, 2615-233, Portugal",Lisboa
52,1601.7465,73.44522144522145,"(-9.036, -8.944]","(39.0, 39.078]",4.6875,39.0,39.078,-9.046,-8.954,"39.0,-9.046","Arruda dos Vinhos, Lisboa, 2630-328, Portugal",Lisboa
53,1599.6428,92.05050505050504,"(-9.036, -8.944]","(39.078, 39.156]",5.333333333333333,39.078,39.156,-9.046,-8.954,"39.078,-9.046","EN 9, Espincadeira, Meca, Alenquer, Lisboa, 2580-318, Portugal",Lisboa
54,1592.3856,161.60331825037707,"(-9.036, -8.944]","(39.156, 39.233]",7.0,39.156,39.233,-9.046,-8.954,"39.156,-9.046","Abrigada e Cabanas de Torres, Alenquer, Lisboa, 2580-097, Portugal",Lisboa
55,1586.9443,127.70707070707071,"(-9.036, -8.944]","(39.233, 39.311]",6.916666666666667,39.233,39.311,-9.046,-8.954,"39.233,-9.046","Lamas e Cercal, Cadaval, Lisboa, 2550-371, Portugal",Lisboa
56,1583.3483,143.65501165501166,"(-9.036, -8.944]","(39.311, 39.389]",7.0,39.311,39.389,-9.046,-8.954,"39.311,-9.046","Rua Casais da Portela, Painho, Painho e Figueiros, Cadaval, Lisboa, 2550-403, Portugal",Leiria
57,1576.1816,158.07925407925407,"(-9.036, -8.944]","(39.389, 39.467]",7.0,39.389,39.467,-9.046,-8.954,"39.389,-9.046","Alvorninha, Leiria, 2500-749, Portugal",Leiria
58,1572.5413,116.97824397824398,"(-9.036, -8.944]","(39.467, 39.544]",6.666666666666667,39.467,39.544,-9.046,-8.954,"39.467,-9.046","Cumeira, Vimeiro, Alcobaça, Leiria, 2460-760, Portugal",Leiria
59,1559.5444,66.9727626459144,"(-9.036, -8.944]","(39.544, 39.622]",6.833333333333333,39.544,39.622,-9.046,-8.954,"39.544,-9.046","Rua Principal, Casal da Maceda, Cela, Alcobaça, Leiria, 2450-015-, Portugal",Leiria
60,1549.8776,98.5881895881896,"(-9.036, -8.944]","(39.622, 39.7]",6.75,39.622,39.7,-9.046,-8.954,"39.622,-9.046","Calhau, Nazaré, Leiria, 2450-138, Portugal",Leiria
61,1549.5157,81.97541633624108,"(-9.036, -8.944]","(39.7, 39.778]",6.9375,39.7,39.778,-9.046,-8.954,"39.7,-9.046","Paredes de Vitória, Pataias e Martingança, Alcobaça, Leiria, 2445-130, Portugal",Faro
62,1682.3857,22.20863309352518,"(-8.944, -8.852]","(36.979, 37.056]",5.416666666666667,36.979,37.056,-8.954,-8.862,"36.979,-8.954","Ponta de Sagres, Sagres, Vila do Bispo, Faro, 8650-356, Portugal",Faro
63,1685.899,77.76788553259142,"(-8.944, -8.852]","(37.056, 37.134]",4.083333333333333,37.056,37.134,-8.954,-8.862,"37.056,-8.954","Sagres, Vila do Bispo, Faro, 8650-436, Portugal",Faro
64,1690.0002,75.74704491725768,"(-8.944, -8.852]","(37.134, 37.212]",4.166666666666667,37.134,37.212,-8.954,-8.862,"37.134,-8.954","Vila do Bispo, Faro, 8650-413, Portugal",Setúbal
65,1640.1149,31.657553956834533,"(-8.944, -8.852]","(38.456, 38.534]",6.333333333333333,38.456,38.534,-8.954,-8.862,"38.456,-8.954","Parque Marinho Luiz Saldanha - Zona de Protecção Complementar, 2925-378, Portugal",Setúbal
66,1627.2385,83.17269984917044,"(-8.944, -8.852]","(38.534, 38.611]",5.916666666666667,38.534,38.611,-8.954,-8.862,"38.534,-8.954","Subida do Javali, Setúbal, Palmela, Setúbal, 2951-901, Portugal",Setúbal
67,1633.7822,30.93162393162393,"(-8.944, -8.852]","(38.611, 38.689]",6.416666666666667,38.611,38.689,-8.954,-8.862,"38.611,-8.954","Quinta do Anjo, Palmela, Setúbal, 2950-766, Portugal",Setúbal
68,1621.389,16.41955835962145,"(-8.944, -8.852]","(38.689, 38.767]",6.833333333333333,38.689,38.767,-8.954,-8.862,"38.689,-8.954","Rua Porto da Hortinha, Bairro do Raposo, Lançada, Sarilhos Grandes, Montijo, Setúbal, 2870-803, Portugal",Lisboa
69,1608.1017,12.559463986599663,"(-8.944, -8.852]","(38.767, 38.845]",6.666666666666667,38.767,38.845,-8.954,-8.862,"38.767,-8.954","Canto do Pinheiro, Alcochete, Setúbal, 2890-551, Portugal",Lisboa
70,1605.1647,3.742035742035742,"(-8.944, -8.852]","(38.845, 38.922]",6.083333333333333,38.845,38.922,-8.954,-8.862,"38.845,-8.954","Ponta da Erva, Vila Franca de Xira, Lisboa, Portugal",Lisboa
71,1597.7365,2.068429237947123,"(-8.944, -8.852]","(38.922, 39.0]",6.833333333333333,38.922,39.0,-8.954,-8.862,"38.922,-8.954","Vila Franca de Xira, Lisboa, Portugal",Lisboa
72,1593.5242,10.271173271173272,"(-8.944, -8.852]","(39.0, 39.078]",5.6875,39.0,39.078,-8.954,-8.862,"39.0,-8.954","Castanheira do Ribatejo, Castanheira do Ribatejo e Cachoeiras, Vila Franca de Xira, Lisboa, 2600-650, Portugal",Lisboa
73,1593.4861,60.22533022533023,"(-8.944, -8.852]","(39.078, 39.156]",6.0,39.078,39.156,-8.954,-8.862,"39.078,-8.954","Alenquer, Lisboa, Portugal",Lisboa
74,1594.2642,75.73831070889895,"(-8.944, -8.852]","(39.156, 39.233]",7.0,39.156,39.233,-8.954,-8.862,"39.156,-8.954","Aveiras de Cima, Azambuja, Lisboa, Portugal",Santarém
75,1588.5276,72.03807303807304,"(-8.944, -8.852]","(39.233, 39.311]",6.833333333333333,39.233,39.311,-8.954,-8.862,"39.233,-8.954","EN 1, Quebradas, Alcoentre, Azambuja, Lisboa, 2065-101, Portugal",Leiria
