lat,long,value
39.4,-7.8,62.015796296296294
39.4,-7.6,60.92918518518519
39.4,-7.4,65.25075925925927
39.6,-9.0,67.71388888888889
39.6,-8.8,79.24614814814815
39.6,-8.6,79.50698148148147
39.6,-8.4,70.58805555555556
39.6,-8.2,76.08500000000001
39.6,-8.0,75.08183333333334
39.6,-7.8,61.5427037037037
39.6,-7.6,58.29764814814815
39.6,-7.4,46.63414814814814
39.8,-9.0,62.44474074074075
39.8,-8.8,69.62414814814815
39.8,-8.6,78.65257407407407
39.8,-8.4,85.14405555555555
39.8,-8.2,86.60725925925925
39.8,-8.0,90.33807407407407
39.8,-7.8,83.047
39.8,-7.6,66.59709259259259
39.8,-7.4,56.8045
39.8,-7.2,48.80712962962963
39.8,-7.0,44.89968518518519
40.0,-8.8,66.68877777777779
40.0,-8.6,76.16083333333333
40.0,-8.4,83.08648148148147
40.0,-8.2,99.49890740740742
40.0,-8.0,98.6227037037037
40.0,-7.8,94.23561111111111
40.0,-7.6,82.35516666666666
40.0,-7.4,72.68125925925925
40.0,-7.2,58.850574074074075
40.0,-7.0,61.04892592592592
40.2,-8.8,67.25750000000001
40.2,-8.6,74.53418518518518
40.2,-8.4,78.6052962962963
40.2,-8.2,93.84349999999999
40.2,-8.0,95.3357037037037
40.2,-7.8,103.5071111111111
40.2,-7.6,108.25661111111111
40.2,-7.4,84.75003703703703
40.2,-7.2,70.03942592592593
40.2,-7.0,77.4465925925926
40.4,-8.8,71.12548148148149
40.4,-8.6,78.0447037037037
40.4,-8.4,88.4982962962963
40.4,-8.2,101.43027777777777
40.4,-8.0,91.38972222222222
40.4,-7.8,91.1102962962963
40.4,-7.6,129.0630185185185
40.4,-7.4,94.84564814814816
40.4,-7.2,72.9462962962963
40.4,-7.0,68.78031481481482
40.4,-6.8,66.39298148148148
40.6,-8.8,77.69896296296297
40.6,-8.6,82.66035185185184
40.6,-8.4,107.10866666666666
40.6,-8.2,141.6972962962963
40.6,-8.0,107.11175925925926
40.6,-7.8,87.051
40.6,-7.6,84.37624074074074
40.6,-7.4,78.0196111111111
40.6,-7.2,69.21244444444444
40.6,-7.0,53.22025925925926
40.6,-6.8,48.48931481481481
40.8,-8.6,95.59194444444445
40.8,-8.4,122.04772222222223
40.8,-8.2,134.0776111111111
40.8,-8.0,119.46187037037036
40.8,-7.8,103.23207407407408
40.8,-7.6,89.4006851851852
40.8,-7.4,70.53724074074074
40.8,-7.2,54.830370370370375
40.8,-7.0,47.06944444444444
40.8,-6.8,39.319796296296296
41.0,-8.6,104.79859259259258
41.0,-8.4,114.8545925925926
41.0,-8.2,117.97157407407407
41.0,-8.0,136.1087037037037
41.0,-7.8,103.92983333333333
41.0,-7.6,72.67892592592592
41.0,-7.4,59.78209259259259
41.0,-7.2,47.54112962962963
41.0,-7.0,45.715333333333334
41.2,-8.6,100.98062962962963
41.2,-8.4,114.30203703703704
41.2,-8.2,114.30238888888888
41.2,-8.0,118.75661111111111
41.2,-7.8,93.52188888888888
41.2,-7.6,65.17751851851853
41.2,-7.4,57.71918518518519
41.2,-7.2,49.66353703703704
41.2,-7.0,49.604111111111116
41.2,-6.8,56.22529629629629
41.4,-8.8,98.52920370370371
41.4,-8.6,112.96903703703704
41.4,-8.4,116.59335185185185
41.4,-8.2,126.89494444444445
41.4,-8.0,128.13555555555556
41.4,-7.8,127.1675925925926
41.4,-7.6,92.03048148148147
41.4,-7.4,61.868907407407406
41.4,-7.2,49.65372222222222
41.4,-7.0,57.37701851851852
41.4,-6.8,60.9047037037037
41.4,-6.6,58.8107037037037
41.4,-6.4,50.29472222222223
41.6,-8.8,108.8205
41.6,-8.6,128.61857407407408
41.6,-8.4,129.57492592592592
41.6,-8.2,162.47299999999998
41.6,-8.0,154.5358148148148
41.6,-7.8,128.24887037037038
41.6,-7.6,86.17946296296297
41.6,-7.4,62.078462962962966
41.6,-7.2,54.03611111111111
41.6,-7.0,62.536222222222214
41.6,-6.8,67.05857407407407
41.6,-6.6,59.93133333333333
41.6,-6.4,54.24924074074074
41.6,-6.2,45.992925925925924
41.8,-8.8,125.5859814814815
41.8,-8.6,138.61562962962964
41.8,-8.4,144.46509259259258
41.8,-8.2,96.34451851851853
41.8,-8.0,84.55092592592592
41.8,-7.8,82.63811111111112
41.8,-7.6,76.77877777777778
41.8,-7.4,83.91712962962963
41.8,-7.2,85.58457407407407
41.8,-7.0,79.88505555555555
41.8,-6.8,73.97401851851852
41.8,-6.6,71.0330925925926
42.0,-8.6,121.67429629629629
42.0,-8.4,147.15298148148148
42.0,-8.2,96.33896296296297
42.0,-7.2,93.08938888888888
42.0,-7.0,104.25522222222222
42.0,-6.8,114.00392592592593
